anno,IstatComune,Regione,Provincia,Comune,Popolazione,Dato riferito a,Frazione umida(1) (t),Verde (t),Carta e cartone (t),Vetro (t),Legno (t),Metallo (t),Plastica (t),RAEE (t),Tessili (t),Selettiva (t),Rifiuti da C e D (t),Pulizia stradale a recupero (t),Ingombranti misti a recupero (t),Altro (t),Totale RD (t),Ingombranti a smaltimento (t),Indifferenziato (t),Totale RU (t),Percentuale RD (%)
2010,058033,Lazio,Roma,CIVITELLA SAN PAOLO,2009,Comune,-,-,12.880,15.100,-,0.130,5.180,1.110,-,0.150,-,-,-,-,34.550,31.940,761.580,828.070,4.17
2010,058034,Lazio,Roma,COLLEFERRO,22142,Comune,-,30.740,719.340,269.840,-,19.147,240.394,-,13.660,0.830,-,-,-,-,1293.950,638.430,9116.600,11048.980,11.71
2010,058035,Lazio,Roma,COLONNA,4016,Comune,58.080,-,57.110,37.900,-,0.692,20.059,0.030,3.640,0.220,-,-,-,-,177.731,80.490,1948.509,2206.730,8.05
2010,058036,Lazio,Roma,FIANO ROMANO,13978,Comune,-,2.680,49.070,149.326,52.610,14.652,44.402,27.340,18.282,1.522,-,-,-,2.330,362.214,13.500,8526.260,8901.974,4.07
2010,058037,Lazio,Roma,FILACCIANO,526,Comune,-,-,5.230,11.330,-,0.110,2.760,-,-,-,-,-,-,-,19.430,-,219.000,238.430,8.15
2010,058120,Lazio,Roma,FIUMICINO,70985,Comune,-,192.620,621.700,472.401,397.800,58.427,79.802,217.230,86.600,3.780,-,-,-,29.330,2159.690,692.220,49752.670,52604.580,4.11
2010,058122,Lazio,Roma,FONTE NUOVA,28620,Comune,-,3.260,515.220,169.809,70.040,35.738,87.455,6.390,30.007,0.840,-,-,-,4.000,922.759,258.520,13522.338,14703.617,6.28
2010,058038,Lazio,Roma,FORMELLO,12802,Comune,-,303.983,343.650,-,-,5.220,-,107.625,-,-,-,-,-,-,760.478,-,4484.000,5244.478,14.50
2010,058039,Lazio,Roma,FRASCATI,21285,Comune,386.440,-,487.300,312.572,-,38.889,128.378,-,46.360,1.160,-,-,-,-,1401.098,680.070,14358.532,16439.700,8.52
2010,058040,Lazio,Roma,GALLICANO NEL LAZIO,6058,Comune,-,-,51.827,24.880,-,9.420,25.580,4.380,-,0.049,-,-,-,-,116.136,9.660,3431.040,3556.836,3.27
2010,058041,Lazio,Roma,GAVIGNANO,1987,Comune,26.480,-,22.550,48.332,-,0.849,15.979,-,1.090,0.060,-,-,-,-,115.340,39.010,360.210,514.560,22.42
2010,058042,Lazio,Roma,GENAZZANO,6036,Comune,-,-,20.770,38.687,-,1.368,10.948,-,1.210,0.020,-,-,-,-,73.003,73.240,3146.507,3292.750,2.22
2010,058043,Lazio,Roma,GENZANO DI ROMA,24364,Comune,-,57.900,473.630,236.260,-,4.670,111.110,41.150,45.820,27.510,-,-,-,-,998.050,172.400,12734.840,13905.290,7.18
2010,058044,Lazio,Roma,GERANO,1253,Comune,-,-,5.062,7.983,-,0.313,2.613,-,-,0.036,-,-,-,-,16.007,6.100,571.569,593.676,2.70
2010,058045,Lazio,Roma,GORGA,778,Comune,19.110,-,9.530,19.915,-,0.344,6.650,-,-,-,-,-,-,-,55.549,17.070,155.281,227.900,24.37
2010,058046,Lazio,Roma,GROTTAFERRATA,21039,Comune,-,363.800,753.100,402.560,-,49.789,421.904,24.060,-,2.130,-,-,-,-,2017.343,290.220,3998.387,6305.950,31.99
2010,058047,Lazio,Roma,GUIDONIA MONTECELIO,83736,Comune,1334.400,8.300,1077.804,734.889,5.800,49.829,574.232,20.620,-,4.614,-,-,-,73.220,3883.708,2588.200,31152.589,37624.497,10.32
2010,058048,Lazio,Roma,JENNE,407,Comune,-,-,1.410,3.350,-,-,-,-,-,-,-,-,-,-,4.760,-,187.520,192.280,2.48
2010,058049,Lazio,Roma,LABICO,5982,Comune,44.280,-,50.510,55.434,-,1.228,25.855,-,2.850,0.025,-,-,-,-,180.182,67.350,3082.993,3330.525,5.41
2010,058116,Lazio,Roma,LADISPOLI,41035,Comune,216.160,2035.670,736.320,279.598,275.450,29.217,184.825,196.185,-,3.700,-,-,-,-,3957.125,234.090,24337.140,28528.355,13.87
2010,058050,Lazio,Roma,LANUVIO,13147,Comune,-,-,199.100,157.000,-,0.980,117.540,16.540,10.411,0.528,-,-,-,-,502.099,285.380,5259.040,6046.519,8.30
2010,058115,Lazio,Roma,LARIANO,13011,Comune,-,-,87.580,51.880,-,13.440,36.200,6.000,-,0.720,-,-,-,-,195.820,27.780,7872.380,8095.980,2.42
2010,058051,Lazio,Roma,LICENZA,1021,Comune,18.871,-,3.531,1.738,4.773,0.173,3.349,-,-,0.022,-,-,-,-,32.457,-,435.484,467.941,6.94
2010,058052,Lazio,Roma,MAGLIANO ROMANO,1519,Comune,-,-,9.270,51.566,-,4.766,14.256,-,-,0.210,-,-,-,-,80.068,-,659.262,739.330,10.83
2010,058053,Lazio,Roma,MANDELA,947,Comune,17.329,-,8.386,1.710,4.383,0.159,3.068,-,-,-,-,-,-,-,35.035,-,380.000,415.035,8.44
2010,058054,Lazio,Roma,MANZIANA,6951,Comune,-,143.670,35.660,56.970,94.540,47.800,0.960,46.240,1.800,1.600,-,-,-,-,429.240,60.880,4278.100,4768.220,9.00
2010,058055,Lazio,Roma,MARANO EQUO,825,Comune,-,-,-,-,-,-,-,1.300,-,-,-,-,-,-,1.300,144.480,222.560,368.340,0.35
2010,058056,Lazio,Roma,MARCELLINA,7101,Comune,-,-,97.902,91.859,-,19.223,33.990,-,-,0.269,-,-,-,-,243.243,154.780,2973.336,3371.359,7.22
2010,058057,Lazio,Roma,MARINO,39976,Comune,-,-,528.730,740.267,-,66.448,171.948,58.840,27.620,3.870,-,-,-,-,1597.723,717.120,20708.507,23023.350,6.94
2010,058058,Lazio,Roma,MAZZANO ROMANO,3064,Comune,-,-,12.580,23.680,-,0.150,8.180,3.720,-,0.230,-,-,-,3.140,51.680,48.220,1667.560,1767.460,2.92
2010,058059,Lazio,Roma,MENTANA,21602,Comune,-,-,248.180,129.661,73.240,43.845,72.150,3.770,-,2.540,-,-,-,11.540,584.926,248.520,9132.564,9966.010,5.87
2010,058064,Lazio,Roma,MONTE PORZIO CATONE,8989,Comune,568.020,52.400,229.870,51.760,31.710,5.813,38.180,15.070,-,2.320,-,-,-,-,995.143,45.020,2682.207,3722.370,26.73
2010,058060,Lazio,Roma,MONTECOMPATRI,10716,Comune,-,-,72.240,42.800,-,12.200,37.457,-,8.363,0.399,-,-,-,-,173.459,187.500,7196.710,7557.669,2.30
2010,058061,Lazio,Roma,MONTEFLAVIO,1420,Comune,-,-,6.501,10.822,-,0.097,3.768,2.980,-,0.135,-,-,-,-,24.303,6.760,672.270,703.333,3.46
2010,058062,Lazio,Roma,MONTELANICO,2156,Comune,46.090,-,23.050,48.232,-,0.849,15.979,-,1.420,-,-,-,-,-,135.620,45.440,374.380,555.440,24.42
2010,058063,Lazio,Roma,MONTELIBRETTI,5130,Comune,-,-,4.840,7.081,35.180,10.656,1.796,7.960,-,-,-,-,-,-,67.513,18.120,2325.187,2410.820,2.80
